時点,全国,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1987年,122239000,5660000,1511000,1427000,2206000,1244000,1262000,2091000,2769000,1895000,1941000,6071000,5307000,11887000,7684000,2477000,1120000,1158000,822000,841000,2148000,2044000,3619000,6566000,1765000,1178000,2601000,8737000,5319000,1333000,1079000,616000,792000,1924000,2834000,1592000,835000,1024000,1525000,836000,4756000,880000,1584000,1842000,1247000,1174000,1816000,1199000
1988年,122745000,5656000,1502000,1424000,2221000,1238000,1262000,2095000,2795000,1908000,1949000,6195000,5403000,11873000,7794000,2476000,1120000,1160000,822000,845000,2149000,2051000,3639000,6606000,1772000,1191000,2604000,8748000,5344000,1347000,1076000,617000,789000,1925000,2838000,1587000,834000,1025000,1522000,833000,4773000,880000,1578000,1842000,1243000,1173000,1812000,1208000
1989年,123205000,5649000,1492000,1419000,2236000,1232000,1260000,2100000,2822000,1921000,1959000,6308000,5487000,11863000,7891000,2476000,1121000,1163000,823000,849000,2153000,2058000,3657000,6649000,1782000,1206000,2604000,8744000,5372000,1363000,1074000,616000,785000,1925000,2843000,1581000,833000,1023000,1519000,830000,4793000,879000,1570000,1841000,1240000,1172000,1805000,1215000
1990年,123611167,5643647,1482873,1416928,2248558,1227478,1258390,2104058,2845382,1935168,1966265,6405319,5555429,11855563,7980391,2474583,1120161,1164628,823585,852966,2156627,2066569,3670840,6690603,1792514,1222411,2602460,8734516,5405040,1375481,1074325,615722,781021,1925877,2849847,1572616,831598,1023412,1515025,825034,4811050,877851,1562959,1840326,1236942,1168907,1797824,1222398
1991年,124101000,5650000,1479000,1416000,2267000,1223000,1257000,2109000,2871000,1948000,1974000,6486000,5617000,11894000,8050000,2475000,1121000,1167000,823000,860000,2162000,2073000,3687000,6729000,1803000,1235000,2608000,8750000,5426000,1388000,1076000,615000,778000,1930000,2859000,1569000,831000,1023000,1513000,822000,4834000,878000,1557000,1844000,1235000,1167000,1793000,1230000
1992年,124567000,5661000,1476000,1416000,2283000,1220000,1257000,2116000,2898000,1959000,1984000,6567000,5679000,11887000,8116000,2476000,1120000,1171000,823000,865000,2169000,2082000,3704000,6776000,1814000,1248000,2615000,8761000,5443000,1400000,1076000,615000,775000,1935000,2867000,1565000,830000,1024000,1511000,819000,4859000,879000,1552000,1846000,1233000,1167000,1789000,1239000
1993年,124938000,5669000,1476000,1417000,2299000,1217000,1256000,2123000,2920000,1969000,1990000,6640000,5731000,11849000,8166000,2479000,1121000,1173000,824000,871000,2175000,2089000,3716000,6810000,1823000,1261000,2618000,8762000,5457000,1412000,1077000,614000,773000,1940000,2873000,1561000,831000,1025000,1508000,817000,4885000,880000,1550000,1850000,1231000,1171000,1788000,1250000
1994年,125265000,5681000,1480000,1418000,2313000,1216000,1256000,2129000,2940000,1977000,1996000,6703000,5767000,11796000,8207000,2484000,1121000,1176000,825000,877000,2184000,2095000,3729000,6839000,1833000,1273000,2622000,8759000,5469000,1420000,1080000,614000,772000,1945000,2877000,1559000,830000,1026000,1508000,817000,4909000,883000,1549000,1855000,1232000,1174000,1791000,1262000
1995年,125570246,5692321,1481663,1419505,2328739,1213667,1256958,2133592,2955530,1984390,2003540,6759311,5797782,11773605,8245900,2488364,1123125,1180068,826996,881996,2193984,2100315,3737689,6868336,1841358,1287005,2629592,8797268,5401877,1430862,1080435,614929,771441,1950750,2881748,1555543,832427,1027006,1506700,816704,4933393,884316,1544934,1859793,1231306,1175819,1794224,1273440
1996年,125859000,5697000,1483000,1420000,2338000,1210000,1255000,2134000,2966000,1991000,2009000,6804000,5817000,11808000,8279000,2490000,1125000,1181000,828000,885000,2203000,2104000,3745000,6897000,1846000,1298000,2634000,8807000,5421000,1437000,1079000,615000,770000,1951000,2881000,1550000,831000,1027000,1505000,816000,4952000,884000,1540000,1861000,1230000,1177000,1793000,1282000
1997年,126157000,5699000,1481000,1419000,2348000,1205000,1253000,2134000,2973000,1996000,2013000,6841000,5839000,11881000,8319000,2490000,1124000,1181000,828000,886000,2207000,2106000,3752000,6931000,1851000,1310000,2638000,8808000,5455000,1442000,1078000,614000,768000,1952000,2882000,1545000,830000,1026000,1503000,816000,4971000,882000,1533000,1861000,1228000,1175000,1792000,1289000
1998年,126472000,5695000,1479000,1419000,2355000,1200000,1251000,2132000,2980000,2001000,2017000,6877000,5867000,11939000,8383000,2488000,1124000,1181000,828000,888000,2210000,2108000,3758000,6973000,1855000,1323000,2643000,8813000,5494000,1443000,1076000,615000,765000,1953000,2882000,1540000,829000,1025000,1501000,816000,4990000,881000,1526000,1862000,1226000,1173000,1790000,1298000
