"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2014年","45000","宮崎県","6440",""
"2014年","46000","鹿児島県","9980",""
"2014年","47000","沖縄県","15426",""
"2015年","01000","北海道","33776",""
"2015年","02000","青森県","5686",""
"2015年","03000","岩手県","8628",""
"2015年","04000","宮城県","23719",""
"2015年","05000","秋田県","3853",""
"2015年","06000","山形県","5403",""
"2015年","07000","福島県","15568",""
"2015年","08000","茨城県","22310",""
"2015年","09000","栃木県","13120",""
"2015年","10000","群馬県","13174",""
"2015年","11000","埼玉県","57357",""
"2015年","12000","千葉県","45784",""
"2015年","13000","東京都","141978",""
"2015年","14000","神奈川県","73271",""
"2015年","15000","新潟県","11554",""
"2015年","16000","富山県","5828",""
"2015年","17000","石川県","7286",""
"2015年","18000","福井県","3911",""
"2015年","19000","山梨県","4608",""
"2015年","20000","長野県","10609",""
"2015年","21000","岐阜県","10436",""
"2015年","22000","静岡県","24052",""
"2015年","23000","愛知県","58720",""
"2015年","24000","三重県","10059",""
"2015年","25000","滋賀県","8208",""
"2015年","26000","京都府","17644",""
"2015年","27000","大阪府","64204",""
"2015年","28000","兵庫県","32696",""
"2015年","29000","奈良県","6517",""
"2015年","30000","和歌山県","4909",""
"2015年","31000","鳥取県","2549",""
"2015年","32000","島根県","3088",""
"2015年","33000","岡山県","12392",""
"2015年","34000","広島県","16289",""
"2015年","35000","山口県","7596",""
"2015年","36000","徳島県","3802",""
"2015年","37000","香川県","6412",""
"2015年","38000","愛媛県","6817",""
"2015年","39000","高知県","2734",""
"2015年","40000","福岡県","40415",""
"2015年","41000","佐賀県","4941",""
"2015年","42000","長崎県","6262",""
"2015年","43000","熊本県","10723",""
"2015年","44000","大分県","7254",""
"2015年","45000","宮崎県","6443",""
"2015年","46000","鹿児島県","10578",""
"2015年","47000","沖縄県","16136",""
"2016年","01000","北海道","36953",""
"2016年","02000","青森県","6494",""
"2016年","03000","岩手県","8226",""
"2016年","04000","宮城県","21747",""
"2016年","05000","秋田県","4184",""
"2016年","06000","山形県","5675",""
"2016年","07000","福島県","18422",""
"2016年","08000","茨城県","23350",""
"2016年","09000","栃木県","14266",""
"2016年","10000","群馬県","13610",""
"2016年","11000","埼玉県","61981",""
"2016年","12000","千葉県","49572",""
"2016年","13000","東京都","148275",""
"2016年","14000","神奈川県","77054",""
"2016年","15000","新潟県","13012",""
"2016年","16000","富山県","7252",""
"2016年","17000","石川県","7524",""
"2016年","18000","福井県","4029",""
"2016年","19000","山梨県","4866",""
