"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1981年","29000","奈良県","701",""
"1981年","30000","和歌山県","1360",""
"1981年","31000","鳥取県","700",""
"1981年","32000","島根県","901",""
"1981年","33000","岡山県","1441",""
"1981年","34000","広島県","1440",""
"1981年","35000","山口県","1641",""
"1981年","36000","徳島県","1115",""
"1981年","37000","香川県","1039",""
"1981年","38000","愛媛県","1246",""
"1981年","39000","高知県","1009",""
"1981年","40000","福岡県","2279",""
"1981年","41000","佐賀県","712",""
"1981年","42000","長崎県","1265",""
"1981年","43000","熊本県","1861",""
"1981年","44000","大分県","1797",""
"1981年","45000","宮崎県","983",""
"1981年","46000","鹿児島県","1902",""
"1981年","47000","沖縄県","990",""
"1982年","01000","北海道","4817",""
"1982年","02000","青森県","1445",""
"1982年","03000","岩手県","1258",""
"1982年","04000","宮城県","1227",""
"1982年","05000","秋田県","999",""
"1982年","06000","山形県","1294",""
"1982年","07000","福島県","2483",""
"1982年","08000","茨城県","1805",""
"1982年","09000","栃木県","1785",""
"1982年","10000","群馬県","1790",""
"1982年","11000","埼玉県","1050",""
"1982年","12000","千葉県","2447",""
"1982年","13000","東京都","2966",""
"1982年","14000","神奈川県","2761",""
"1982年","15000","新潟県","4020",""
"1982年","16000","富山県","790",""
"1982年","17000","石川県","1288",""
"1982年","18000","福井県","1417",""
"1982年","19000","山梨県","1523",""
"1982年","20000","長野県","4007",""
"1982年","21000","岐阜県","1985",""
"1982年","22000","静岡県","5251",""
"1982年","23000","愛知県","2538",""
"1982年","24000","三重県","2666",""
"1982年","25000","滋賀県","850",""
"1982年","26000","京都府","1550",""
"1982年","27000","大阪府","1846",""
"1982年","28000","兵庫県","2959",""
"1982年","29000","奈良県","710",""
"1982年","30000","和歌山県","1348",""
"1982年","31000","鳥取県","689",""
"1982年","32000","島根県","911",""
"1982年","33000","岡山県","1453",""
"1982年","34000","広島県","1393",""
"1982年","35000","山口県","1626",""
"1982年","36000","徳島県","1126",""
"1982年","37000","香川県","1007",""
"1982年","38000","愛媛県","1244",""
"1982年","39000","高知県","1009",""
"1982年","40000","福岡県","2216",""
"1982年","41000","佐賀県","714",""
"1982年","42000","長崎県","1237",""
"1982年","43000","熊本県","1861",""
"1982年","44000","大分県","1773",""
"1982年","45000","宮崎県","977",""
"1982年","46000","鹿児島県","1854",""
"1982年","47000","沖縄県","1010",""
"1983年","01000","北海道","4851",""
"1983年","02000","青森県","1452",""
"1983年","03000","岩手県","1246",""
"1983年","04000","宮城県","1240",""
"1983年","05000","秋田県","1010",""
"1983年","06000","山形県","1314",""
"1983年","07000","福島県","2464",""
"1983年","08000","茨城県","1732",""
"1983年","09000","栃木県","1823",""
"1983年","10000","群馬県","1807",""
"1983年","11000","埼玉県","1062",""
"1983年","12000","千葉県","2442",""
"1983年","13000","東京都","2888",""
"1983年","14000","神奈川県","2710",""
"1983年","15000","新潟県","4042",""
"1983年","16000","富山県","796",""
"1983年","17000","石川県","1287",""
"1983年","18000","福井県","1439",""
"1983年","19000","山梨県","1560",""
"1983年","20000","長野県","3989",""
"1983年","21000","岐阜県","1987",""
"1983年","22000","静岡県","5288",""
"1983年","23000","愛知県","2533",""
"1983年","24000","三重県","2662",""
"1983年","25000","滋賀県","835",""
"1983年","26000","京都府","1530",""
"1983年","27000","大阪府","1771",""
"1983年","28000","兵庫県","2958",""
"1983年","29000","奈良県","704",""
"1983年","30000","和歌山県","1222",""
"1983年","31000","鳥取県","690",""
"1983年","32000","島根県","914",""
"1983年","33000","岡山県","1431",""
"1983年","34000","広島県","1357",""
"1983年","35000","山口県","1603",""
"1983年","36000","徳島県","1107",""
"1983年","37000","香川県","990",""
"1983年","38000","愛媛県","1237",""
"1983年","39000","高知県","969",""
"1983年","40000","福岡県","2170",""
"1983年","41000","佐賀県","693",""
"1983年","42000","長崎県","1202",""
"1983年","43000","熊本県","1873",""
"1983年","44000","大分県","1712",""
"1983年","45000","宮崎県","956",""
"1983年","46000","鹿児島県","1832",""
"1983年","47000","沖縄県","962",""
"1984年","01000","北海道","4836",""
"1984年","02000","青森県","1447",""
"1984年","03000","岩手県","1246",""
"1984年","04000","宮城県","1244",""
"1984年","05000","秋田県","999",""
"1984年","06000","山形県","1348",""
"1984年","07000","福島県","2465",""
"1984年","08000","茨城県","1748",""
"1984年","09000","栃木県","1830",""
"1984年","10000","群馬県","1834",""
"1984年","11000","埼玉県","1079",""
"1984年","12000","千葉県","2456",""
"1984年","13000","東京都","2826",""
"1984年","14000","神奈川県","2681",""
"1984年","15000","新潟県","3974",""
"1984年","16000","富山県","788",""
"1984年","17000","石川県","1302",""
"1984年","18000","福井県","1462",""
"1984年","19000","山梨県","1602",""
"1984年","20000","長野県","3961",""
