"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2013年","43000","熊本県","2467856","","445287","","295599","","124639","","326112","","367415","","27119","","678366",""
"2013年","44000","大分県","1612104","","247306","","178164","","94253","","190105","","373461","","20350","","355362",""
"2013年","45000","宮崎県","1445624","","224879","","104559","","76602","","168489","","288968","","9264","","466415",""
"2013年","46000","鹿児島県","2171486","","462306","","215868","","99611","","226180","","326377","","14344","","652985",""
"2013年","47000","沖縄県","1797329","","213772","","237870","","118595","","384132","","153287","","18678","","476452",""
"2014年","01000","北海道","10169962","","1674282","","1394715","","619525","","1003177","","1868404","","90831","","2384922",""
"2014年","02000","青森県","1978953","","343397","","193081","","139055","","179557","","386432","","14979","","511023",""
"2014年","03000","岩手県","2232592","","569942","","229849","","135146","","196294","","287568","","12942","","619257",""
"2014年","04000","宮城県","4950487","","878905","","833912","","368157","","475775","","765805","","59709","","932108",""
"2014年","05000","秋田県","1471028","","243614","","133748","","96973","","128355","","241996","","9702","","469192",""
"2014年","06000","山形県","1746734","","304371","","141151","","96213","","162818","","322214","","20176","","524699",""
"2014年","07000","福島県","3262763","","414106","","366403","","249771","","332806","","703207","","25204","","744479",""
"2014年","08000","茨城県","5315802","","1299002","","376756","","396800","","389336","","1037108","","52573","","1111908",""
"2014年","09000","栃木県","3508565","","648727","","283686","","136542","","332412","","785291","","53032","","851384",""
"2014年","10000","群馬県","3609716","","720338","","278748","","184276","","327190","","859780","","31534","","782772",""
"2014年","11000","埼玉県","12073582","","3180866","","1614427","","598028","","919787","","2032140","","163602","","2235834",""
"2014年","12000","千葉県","12576852","","3080673","","1437230","","662660","","1298941","","2229764","","151448","","2032710",""
"2014年","13000","東京都","73393257","","15980608","","16578345","","11601520","","4996659","","8798637","","985694","","5135114",""
"2014年","14000","神奈川県","17981899","","3936721","","2932189","","1302375","","1648431","","2758217","","267598","","2964094",""
"2014年","15000","新潟県","4008553","","839634","","408510","","207859","","520025","","600977","","76656","","920855",""
"2014年","16000","富山県","1795906","","251033","","177386","","138874","","167627","","273728","","14950","","532047",""
"2014年","17000","石川県","2084750","","315591","","227398","","126905","","266373","","321876","","20794","","569166",""
"2014年","18000","福井県","1518900","","306419","","117554","","142576","","150438","","285994","","12289","","320258",""
"2014年","19000","山梨県","1542321","","330843","","93542","","68142","","213185","","323571","","17031","","337358",""
"2014年","20000","長野県","3573573","","550915","","438517","","183444","","552888","","562605","","50533","","897096",""
"2014年","21000","岐阜県","3333150","","616691","","224131","","203842","","418983","","611979","","48372","","907093",""
"2014年","22000","静岡県","7333364","","1922576","","811329","","402195","","734774","","1232726","","123719","","1349817",""
"2014年","23000","愛知県","17520064","","3456742","","2688443","","1278402","","1583390","","2908747","","216563","","2897500",""
"2014年","24000","三重県","3486951","","1028011","","311460","","192627","","378442","","480606","","29805","","754169",""
