"時点","地域コード","地域","住宅数【戸】","注記","空き家数【戸】","注記"
"2003年","46000","鹿児島県","809700","","106400",""
"2003年","47000","沖縄県","519700","","51800",""
"2008年","01000","北海道","2730500","","374400",""
"2008年","02000","青森県","580800","","84700",""
"2008年","03000","岩手県","549500","","77300",""
"2008年","04000","宮城県","1013900","","138400",""
"2008年","05000","秋田県","437400","","55300",""
"2008年","06000","山形県","432700","","47500",""
"2008年","07000","福島県","808200","","105000",""
"2008年","08000","茨城県","1223800","","178400",""
"2008年","09000","栃木県","839900","","126300",""
"2008年","10000","群馬県","855800","","123100",""
"2008年","11000","埼玉県","3029000","","322600",""
"2008年","12000","千葉県","2717700","","355900",""
"2008年","13000","東京都","6780500","","750300",""
"2008年","14000","神奈川県","4067800","","428600",""
"2008年","15000","新潟県","929700","","112800",""
"2008年","16000","富山県","424300","","52200",""
"2008年","17000","石川県","498000","","72700",""
"2008年","18000","福井県","308700","","46700",""
"2008年","19000","山梨県","398300","","80900",""
"2008年","20000","長野県","946300","","183000",""
"2008年","21000","岐阜県","835700","","117900",""
"2008年","22000","静岡県","1597900","","226800",""
"2008年","23000","愛知県","3132900","","343600",""
"2008年","24000","三重県","791000","","104600",""
"2008年","25000","滋賀県","567600","","73300",""
"2008年","26000","京都府","1270200","","167000",""
"2008年","27000","大阪府","4346000","","625100",""
"2008年","28000","兵庫県","2520700","","336200",""
"2008年","29000","奈良県","592600","","86400",""
"2008年","30000","和歌山県","467900","","83700",""
"2008年","31000","鳥取県","247200","","38000",""
"2008年","32000","島根県","295800","","44200",""
"2008年","33000","岡山県","866600","","128300",""
"2008年","34000","広島県","1356200","","198300",""
"2008年","35000","山口県","691600","","104600",""
"2008年","36000","徳島県","355600","","56500",""
"2008年","37000","香川県","446400","","71400",""
"2008年","38000","愛媛県","681100","","102800",""
"2008年","39000","高知県","377700","","62600",""
"2008年","40000","福岡県","2374800","","324600",""
"2008年","41000","佐賀県","322900","","35700",""
"2008年","42000","長崎県","631100","","88800",""
"2008年","43000","熊本県","769500","","102800",""
"2008年","44000","大分県","546500","","77200",""
"2008年","45000","宮崎県","509600","","62900",""
"2008年","46000","鹿児島県","851300","","129900",""
"2008年","47000","沖縄県","566500","","58400",""
"2013年","01000","北海道","2746600","","388200",""
"2013年","02000","青森県","586300","","81200",""
"2013年","03000","岩手県","552100","","76300",""
"2013年","04000","宮城県","1034100","","96900",""
"2013年","05000","秋田県","446900","","56600",""
"2013年","06000","山形県","431900","","46100",""
"2013年","07000","福島県","782300","","91800",""
"2013年","08000","茨城県","1268200","","184700",""
"2013年","09000","栃木県","879000","","143400",""
"2013年","10000","群馬県","902900","","150100",""
"2013年","11000","埼玉県","3266300","","355000",""
"2013年","12000","千葉県","2896200","","367200",""
"2013年","13000","東京都","7359400","","817100",""
"2013年","14000","神奈川県","4350800","","486700",""
"2013年","15000","新潟県","972300","","132000",""
"2013年","16000","富山県","439000","","56200",""
"2013年","17000","石川県","520400","","76900",""
"2013年","18000","福井県","309600","","43000",""
"2013年","19000","山梨県","422100","","92900",""
"2013年","20000","長野県","982200","","194000",""
"2013年","21000","岐阜県","878400","","133400",""
"2013年","22000","静岡県","1659300","","270900",""
"2013年","23000","愛知県","3439000","","422000",""
"2013年","24000","三重県","831200","","128500",""
"2013年","25000","滋賀県","602500","","77800",""
"2013年","26000","京都府","1320300","","175300",""
"2013年","27000","大阪府","4586000","","678800",""
"2013年","28000","兵庫県","2733700","","356500",""
"2013年","29000","奈良県","615000","","84500",""
"2013年","30000","和歌山県","475900","","86000",""
"2013年","31000","鳥取県","250100","","35900",""
"2013年","32000","島根県","304200","","44800",""
"2013年","33000","岡山県","885300","","140100",""
"2013年","34000","広島県","1393500","","221300",""
"2013年","35000","山口県","706400","","114400",""
"2013年","36000","徳島県","364900","","64000",""
"2013年","37000","香川県","470500","","80900",""
"2013年","38000","愛媛県","705200","","123400",""
"2013年","39000","高知県","392400","","69800",""
"2013年","40000","福岡県","2492700","","316800",""
"2013年","41000","佐賀県","338200","","43300",""
"2013年","42000","長崎県","660100","","101800",""
"2013年","43000","熊本県","804300","","114800",""
"2013年","44000","大分県","569500","","89900",""
"2013年","45000","宮崎県","533900","","74200",""
"2013年","46000","鹿児島県","864700","","147300",""
"2013年","47000","沖縄県","602800","","62400",""
"2018年","01000","北海道","2807200","","379800",""
"2018年","02000","青森県","592400","","88700",""
"2018年","03000","岩手県","579300","","93500",""
"2018年","04000","宮城県","1089300","","130500",""
"2018年","05000","秋田県","445700","","60800",""
"2018年","06000","山形県","449000","","54200",""
"2018年","07000","福島県","861300","","123500",""
"2018年","08000","茨城県","1328900","","197200",""
"2018年","09000","栃木県","926700","","160700",""
"2018年","10000","群馬県","949000","","158300",""
"2018年","11000","埼玉県","3384700","","346200",""
"2018年","12000","千葉県","3029800","","382500",""
"2018年","13000","東京都","7671600","","809900",""
"2018年","14000","神奈川県","4503500","","484700",""
"2018年","15000","新潟県","994500","","146200",""
"2018年","16000","富山県","452600","","60000",""
"2018年","17000","石川県","535800","","77800",""
"2018年","18000","福井県","325400","","45000",""
"2018年","19000","山梨県","422000","","90000",""
"2018年","20000","長野県","1007900","","197300",""
"2018年","21000","岐阜県","893900","","139800",""
"2018年","22000","静岡県","1714700","","281600",""
"2018年","23000","愛知県","3481800","","393800",""
"2018年","24000","三重県","853700","","129600",""
"2018年","25000","滋賀県","626000","","81200",""
"2018年","26000","京都府","1338300","","171800",""
"2018年","27000","大阪府","4680200","","709400",""
"2018年","28000","兵庫県","2680900","","360200",""
"2018年","29000","奈良県","617600","","87200",""
"2018年","30000","和歌山県","485200","","98400",""
"2018年","31000","鳥取県","256600","","39900",""
"2018年","32000","島根県","314200","","48300",""
"2018年","33000","岡山県","916300","","142500",""
"2018年","34000","広島県","1430700","","215600",""
"2018年","35000","山口県","719900","","126800",""
"2018年","36000","徳島県","380700","","74100",""
"2018年","37000","香川県","487700","","88200",""
"2018年","38000","愛媛県","714300","","129800",""
"2018年","39000","高知県","391600","","74600",""
"2018年","40000","福岡県","2581200","","328600",""
"2018年","41000","佐賀県","352100","","50500",""
"2018年","42000","長崎県","659500","","101500",""
"2018年","43000","熊本県","813700","","111900",""
"2018年","44000","大分県","581800","","97700",""
"2018年","45000","宮崎県","546400","","84200",""
"2018年","46000","鹿児島県","879400","","167000",""
"2018年","47000","沖縄県","652600","","67900",""
