"時点","地域コード","地域","出生率（人口千対）","注記"
"1999年","39000","高知県","8.2",""
"1999年","40000","福岡県","9.4",""
"1999年","41000","佐賀県","9.7",""
"1999年","42000","長崎県","9.3",""
"1999年","43000","熊本県","9.2",""
"1999年","44000","大分県","8.8",""
"1999年","45000","宮崎県","9.3",""
"1999年","46000","鹿児島県","8.8",""
"1999年","47000","沖縄県","12.8",""
"2000年","01000","北海道","8.2",""
"2000年","02000","青森県","8.8",""
"2000年","03000","岩手県","8.8",""
"2000年","04000","宮城県","9.4",""
"2000年","05000","秋田県","7.6",""
"2000年","06000","山形県","8.8",""
"2000年","07000","福島県","9.6",""
"2000年","08000","茨城県","9.6",""
"2000年","09000","栃木県","9.6",""
"2000年","10000","群馬県","9.7",""
"2000年","11000","埼玉県","9.7",""
"2000年","12000","千葉県","9.4",""
"2000年","13000","東京都","8.5",""
"2000年","14000","神奈川県","9.9",""
"2000年","15000","新潟県","8.9",""
"2000年","16000","富山県","9.1",""
"2000年","17000","石川県","9.8",""
"2000年","18000","福井県","9.8",""
"2000年","19000","山梨県","9.5",""
"2000年","20000","長野県","9.7",""
"2000年","21000","岐阜県","9.7",""
"2000年","22000","静岡県","9.6",""
"2000年","23000","愛知県","10.8",""
"2000年","24000","三重県","9.7",""
"2000年","25000","滋賀県","10.6",""
"2000年","26000","京都府","9.2",""
"2000年","27000","大阪府","10.2",""
"2000年","28000","兵庫県","10.0",""
"2000年","29000","奈良県","9.3",""
"2000年","30000","和歌山県","9.0",""
"2000年","31000","鳥取県","9.3",""
"2000年","32000","島根県","8.6",""
"2000年","33000","岡山県","9.8",""
"2000年","34000","広島県","9.6",""
"2000年","35000","山口県","8.7",""
"2000年","36000","徳島県","8.8",""
"2000年","37000","香川県","9.6",""
"2000年","38000","愛媛県","8.9",""
"2000年","39000","高知県","8.4",""
"2000年","40000","福岡県","9.5",""
"2000年","41000","佐賀県","10.0",""
"2000年","42000","長崎県","9.3",""
"2000年","43000","熊本県","9.3",""
"2000年","44000","大分県","9.0",""
"2000年","45000","宮崎県","9.5",""
"2000年","46000","鹿児島県","9.1",""
"2000年","47000","沖縄県","12.8",""
"2001年","01000","北海道","8.2",""
"2001年","02000","青森県","8.8",""
"2001年","03000","岩手県","8.7",""
"2001年","04000","宮城県","9.2",""
"2001年","05000","秋田県","7.5",""
"2001年","06000","山形県","8.8",""
"2001年","07000","福島県","9.5",""
"2001年","08000","茨城県","9.4",""
"2001年","09000","栃木県","9.5",""
"2001年","10000","群馬県","9.5",""
"2001年","11000","埼玉県","9.5",""
"2001年","12000","千葉県","9.2",""
"2001年","13000","東京都","8.3",""
"2001年","14000","神奈川県","9.7",""
"2001年","15000","新潟県","8.7",""
"2001年","16000","富山県","9.0",""
"2001年","17000","石川県","9.7",""
"2001年","18000","福井県","9.7",""
"2001年","19000","山梨県","9.3",""
"2001年","20000","長野県","9.6",""
"2001年","21000","岐阜県","9.4",""
"2001年","22000","静岡県","9.5",""
"2001年","23000","愛知県","10.5",""
"2001年","24000","三重県","9.3",""
"2001年","25000","滋賀県","10.5",""
"2001年","26000","京都府","9.0",""
"2001年","27000","大阪府","9.9",""
"2001年","28000","兵庫県","9.6",""
"2001年","29000","奈良県","8.9",""
"2001年","30000","和歌山県","8.8",""
"2001年","31000","鳥取県","9.2",""
"2001年","32000","島根県","8.8",""
"2001年","33000","岡山県","9.7",""
"2001年","34000","広島県","9.6",""
"2001年","35000","山口県","8.6",""
"2001年","36000","徳島県","8.6",""
"2001年","37000","香川県","9.3",""
"2001年","38000","愛媛県","8.8",""
"2001年","39000","高知県","8.3",""
"2001年","40000","福岡県","9.4",""
"2001年","41000","佐賀県","9.8",""
"2001年","42000","長崎県","9.1",""
"2001年","43000","熊本県","9.1",""
"2001年","44000","大分県","9.0",""
"2001年","45000","宮崎県","9.4",""
"2001年","46000","鹿児島県","9.0",""
"2001年","47000","沖縄県","13.0",""
"2002年","01000","北海道","8.2",""
"2002年","02000","青森県","8.5",""
"2002年","03000","岩手県","8.5",""
"2002年","04000","宮城県","9.1",""
"2002年","05000","秋田県","7.2",""
"2002年","06000","山形県","8.5",""
"2002年","07000","福島県","9.2",""
"2002年","08000","茨城県","9.3",""
"2002年","09000","栃木県","9.3",""
"2002年","10000","群馬県","9.4",""
"2002年","11000","埼玉県","9.3",""
"2002年","12000","千葉県","9.2",""
"2002年","13000","東京都","8.4",""
"2002年","14000","神奈川県","9.6",""
"2002年","15000","新潟県","8.2",""
"2002年","16000","富山県","8.9",""
"2002年","17000","石川県","9.3",""
"2002年","18000","福井県","9.5",""
"2002年","19000","山梨県","9.0",""
"2002年","20000","長野県","9.3",""
"2002年","21000","岐阜県","9.4",""
"2002年","22000","静岡県","9.5",""
"2002年","23000","愛知県","10.3",""
"2002年","24000","三重県","9.4",""
"2002年","25000","滋賀県","10.4",""
"2002年","26000","京都府","8.8",""
"2002年","27000","大阪府","9.7",""
"2002年","28000","兵庫県","9.5",""
"2002年","29000","奈良県","8.7",""
"2002年","30000","和歌山県","8.5",""
"2002年","31000","鳥取県","8.8",""
"2002年","32000","島根県","8.4",""
"2002年","33000","岡山県","9.5",""
"2002年","34000","広島県","9.3",""
"2002年","35000","山口県","8.4",""
"2002年","36000","徳島県","8.4",""
"2002年","37000","香川県","9.3",""
"2002年","38000","愛媛県","8.4",""
"2002年","39000","高知県","8.1",""
"2002年","40000","福岡県","9.3",""
"2002年","41000","佐賀県","9.4",""
"2002年","42000","長崎県","8.8",""
"2002年","43000","熊本県","9.1",""
"2002年","44000","大分県","8.6",""
"2002年","45000","宮崎県","9.2",""
"2002年","46000","鹿児島県","8.9",""
"2002年","47000","沖縄県","12.4",""
"2003年","01000","北海道","8.0",""
"2003年","02000","青森県","8.0",""
"2003年","03000","岩手県","8.1",""
"2003年","04000","宮城県","8.8",""
"2003年","05000","秋田県","6.9",""
"2003年","06000","山形県","8.2",""
"2003年","07000","福島県","9.0",""
"2003年","08000","茨城県","9.0",""
"2003年","09000","栃木県","9.1",""
"2003年","10000","群馬県","9.2",""
"2003年","11000","埼玉県","9.1",""
"2003年","12000","千葉県","8.9",""
"2003年","13000","東京都","8.2",""
"2003年","14000","神奈川県","9.4",""
"2003年","15000","新潟県","8.1",""
"2003年","16000","富山県","8.4",""
"2003年","17000","石川県","9.3",""
"2003年","18000","福井県","9.1",""
"2003年","19000","山梨県","8.8",""
"2003年","20000","長野県","9.1",""
"2003年","21000","岐阜県","9.2",""
"2003年","22000","静岡県","9.1",""
"2003年","23000","愛知県","10.0",""
"2003年","24000","三重県","9.0",""
"2003年","25000","滋賀県","10.1",""
"2003年","26000","京都府","8.6",""
"2003年","27000","大阪府","9.4",""
"2003年","28000","兵庫県","9.2",""
"2003年","29000","奈良県","8.5",""
"2003年","30000","和歌山県","8.1",""
"2003年","31000","鳥取県","9.0",""
"2003年","32000","島根県","8.1",""
"2003年","33000","岡山県","9.2",""
"2003年","34000","広島県","9.2",""
"2003年","35000","山口県","8.1",""
"2003年","36000","徳島県","8.1",""
"2003年","37000","香川県","9.0",""
"2003年","38000","愛媛県","8.5",""
"2003年","39000","高知県","7.8",""
"2003年","40000","福岡県","9.0",""
"2003年","41000","佐賀県","9.1",""
"2003年","42000","長崎県","8.7",""
"2003年","43000","熊本県","8.8",""
"2003年","44000","大分県","8.4",""
"2003年","45000","宮崎県","8.8",""
"2003年","46000","鹿児島県","8.8",""
"2003年","47000","沖縄県","12.1",""
"2004年","01000","北海道","7.8",""
"2004年","02000","青森県","8.0",""
"2004年","03000","岩手県","8.0",""
"2004年","04000","宮城県","8.6",""
"2004年","05000","秋田県","6.9",""
"2004年","06000","山形県","8.1",""
"2004年","07000","福島県","8.7",""
"2004年","08000","茨城県","8.9",""
"2004年","09000","栃木県","9.0",""
"2004年","10000","群馬県","8.9",""
"2004年","11000","埼玉県","8.9",""
"2004年","12000","千葉県","8.9",""
"2004年","13000","東京都","8.2",""
"2004年","14000","神奈川県","9.2",""
"2004年","15000","新潟県","8.0",""
"2004年","16000","富山県","8.5",""
"2004年","17000","石川県","9.0",""
"2004年","18000","福井県","8.9",""
"2004年","19000","山梨県","8.6",""
"2004年","20000","長野県","8.9",""
"2004年","21000","岐阜県","8.9",""
"2004年","22000","静岡県","9.0",""
"2004年","23000","愛知県","10.0",""
"2004年","24000","三重県","8.9",""
"2004年","25000","滋賀県","10.1",""
"2004年","26000","京都府","8.5",""
"2004年","27000","大阪府","9.2",""
"2004年","28000","兵庫県","9.0",""
"2004年","29000","奈良県","8.3",""
"2004年","30000","和歌山県","7.8",""
"2004年","31000","鳥取県","8.7",""
"2004年","32000","島根県","8.2",""
"2004年","33000","岡山県","9.1",""
"2004年","34000","広島県","9.0",""
"2004年","35000","山口県","8.1",""
"2004年","36000","徳島県","8.0",""
"2004年","37000","香川県","9.0",""
"2004年","38000","愛媛県","8.2",""
"2004年","39000","高知県","7.6",""
"2004年","40000","福岡県","9.0",""
"2004年","41000","佐賀県","9.1",""
"2004年","42000","長崎県","8.7",""
"2004年","43000","熊本県","8.8",""
"2004年","44000","大分県","8.3",""
"2004年","45000","宮崎県","8.9",""
"2004年","46000","鹿児島県","8.6",""
"2004年","47000","沖縄県","12.1",""
"2005年","01000","北海道","7.4",""
"2005年","02000","青森県","7.3",""
"2005年","03000","岩手県","7.6",""
"2005年","04000","宮城県","8.2",""
"2005年","05000","秋田県","6.7",""
"2005年","06000","山形県","7.7",""
"2005年","07000","福島県","8.4",""
"2005年","08000","茨城県","8.3",""
"2005年","09000","栃木県","8.7",""
"2005年","10000","群馬県","8.6",""
"2005年","11000","埼玉県","8.6",""
"2005年","12000","千葉県","8.5",""
"2005年","13000","東京都","7.8",""
"2005年","14000","神奈川県","8.8",""
"2005年","15000","新潟県","7.6",""
"2005年","16000","富山県","8.1",""
"2005年","17000","石川県","8.6",""
"2005年","18000","福井県","8.8",""
"2005年","19000","山梨県","8.2",""
"2005年","20000","長野県","8.6",""
"2005年","21000","岐阜県","8.6",""
"2005年","22000","静岡県","8.6",""
"2005年","23000","愛知県","9.4",""
"2005年","24000","三重県","8.4",""
"2005年","25000","滋賀県","9.5",""
"2005年","26000","京都府","8.3",""
"2005年","27000","大阪府","8.8",""
"2005年","28000","兵庫県","8.6",""
"2005年","29000","奈良県","7.9",""
"2005年","30000","和歌山県","7.6",""
"2005年","31000","鳥取県","8.3",""
"2005年","32000","島根県","7.7",""
"2005年","33000","岡山県","8.6",""
"2005年","34000","広島県","8.7",""
"2005年","35000","山口県","7.8",""
"2005年","36000","徳島県","7.3",""
"2005年","37000","香川県","8.6",""
"2005年","38000","愛媛県","7.9",""
"2005年","39000","高知県","7.5",""
"2005年","40000","福岡県","8.7",""
"2005年","41000","佐賀県","8.7",""
"2005年","42000","長崎県","8.2",""
"2005年","43000","熊本県","8.5",""
"2005年","44000","大分県","8.1",""
"2005年","45000","宮崎県","8.5",""
"2005年","46000","鹿児島県","8.5",""
"2005年","47000","沖縄県","11.9",""
"2006年","01000","北海道","7.6",""
"2006年","02000","青森県","7.4",""
"2006年","03000","岩手県","7.7",""
"2006年","04000","宮城県","8.4",""
"2006年","05000","秋田県","6.8",""
"2006年","06000","山形県","7.9",""
"2006年","07000","福島県","8.5",""
"2006年","08000","茨城県","8.6",""
"2006年","09000","栃木県","8.9",""
"2006年","10000","群馬県","8.6",""
"2006年","11000","埼玉県","8.8",""
"2006年","12000","千葉県","8.6",""
"2006年","13000","東京都","8.2",""
"2006年","14000","神奈川県","9.1",""
"2006年","15000","新潟県","7.9",""
"2006年","16000","富山県","8.2",""
"2006年","17000","石川県","8.8",""
"2006年","18000","福井県","9.1",""
"2006年","19000","山梨県","8.2",""
"2006年","20000","長野県","8.7",""
"2006年","21000","岐阜県","8.8",""
"2006年","22000","静岡県","8.8",""
"2006年","23000","愛知県","9.8",""
"2006年","24000","三重県","8.6",""
"2006年","25000","滋賀県","9.9",""
"2006年","26000","京都府","8.5",""
"2006年","27000","大阪府","9.0",""
"2006年","28000","兵庫県","8.9",""
"2006年","29000","奈良県","8.2",""
"2006年","30000","和歌山県","7.8",""
"2006年","31000","鳥取県","8.6",""
"2006年","32000","島根県","8.2",""
"2006年","33000","岡山県","8.9",""
"2006年","34000","広島県","8.9",""
"2006年","35000","山口県","7.9",""
"2006年","36000","徳島県","7.8",""
"2006年","37000","香川県","8.6",""
"2006年","38000","愛媛県","8.1",""
"2006年","39000","高知県","7.6",""
"2006年","40000","福岡県","9.0",""
"2006年","41000","佐賀県","8.9",""
"2006年","42000","長崎県","8.5",""
"2006年","43000","熊本県","8.9",""
"2006年","44000","大分県","8.5",""
"2006年","45000","宮崎県","8.8",""
"2006年","46000","鹿児島県","8.7",""
"2006年","47000","沖縄県","12.1",""
"2007年","01000","北海道","7.5",""
"2007年","02000","青森県","7.2",""
"2007年","03000","岩手県","7.6",""
"2007年","04000","宮城県","8.5",""
"2007年","05000","秋田県","6.7",""
"2007年","06000","山形県","7.7",""
"2007年","07000","福島県","8.3",""
"2007年","08000","茨城県","8.5",""
"2007年","09000","栃木県","8.7",""
"2007年","10000","群馬県","8.5",""
"2007年","11000","埼玉県","8.7",""
"2007年","12000","千葉県","8.6",""
"2007年","13000","東京都","8.3",""
"2007年","14000","神奈川県","9.0",""
"2007年","15000","新潟県","7.8",""
"2007年","16000","富山県","8.0",""
"2007年","17000","石川県","8.9",""
"2007年","18000","福井県","8.9",""
"2007年","19000","山梨県","8.1",""
"2007年","20000","長野県","8.7",""
"2007年","21000","岐阜県","8.6",""
"2007年","22000","静岡県","9.0",""
"2007年","23000","愛知県","9.8",""
"2007年","24000","三重県","8.6",""
"2007年","25000","滋賀県","9.7",""
"2007年","26000","京都府","8.3",""
"2007年","27000","大阪府","8.9",""
"2007年","28000","兵庫県","8.8",""
"2007年","29000","奈良県","8.0",""
"2007年","30000","和歌山県","7.6",""
"2007年","31000","鳥取県","8.4",""
"2007年","32000","島根県","8.1",""
"2007年","33000","岡山県","8.8",""
"2007年","34000","広島県","9.1",""
"2007年","35000","山口県","8.0",""
"2007年","36000","徳島県","7.6",""
"2007年","37000","香川県","8.7",""
"2007年","38000","愛媛県","8.1",""
"2007年","39000","高知県","7.3",""
"2007年","40000","福岡県","9.2",""
"2007年","41000","佐賀県","9.0",""
"2007年","42000","長崎県","8.4",""
"2007年","43000","熊本県","9.0",""
"2007年","44000","大分県","8.5",""
"2007年","45000","宮崎県","9.1",""
"2007年","46000","鹿児島県","8.7",""
"2007年","47000","沖縄県","12.1",""
"2008年","01000","北海道","7.4",""
"2008年","02000","青森県","7.3",""
"2008年","03000","岩手県","7.6",""
"2008年","04000","宮城県","8.5",""
"2008年","05000","秋田県","6.7",""
"2008年","06000","山形県","7.8",""
"2008年","07000","福島県","8.3",""
"2008年","08000","茨城県","8.4",""
"2008年","09000","栃木県","8.7",""
"2008年","10000","群馬県","8.6",""
"2008年","11000","埼玉県","8.6",""
"2008年","12000","千葉県","8.7",""
"2008年","13000","東京都","8.4",""
"2008年","14000","神奈川県","9.0",""
"2008年","15000","新潟県","7.7",""
"2008年","16000","富山県","8.0",""
"2008年","17000","石川県","8.8",""
"2008年","18000","福井県","8.9",""
"2008年","19000","山梨県","8.1",""
"2008年","20000","長野県","8.5",""
"2008年","21000","岐阜県","8.5",""
"2008年","22000","静岡県","8.8",""
"2008年","23000","愛知県","9.9",""
"2008年","24000","三重県","8.6",""
"2008年","25000","滋賀県","9.8",""
"2008年","26000","京都府","8.4",""
"2008年","27000","大阪府","9.0",""
"2008年","28000","兵庫県","8.9",""
"2008年","29000","奈良県","7.9",""
"2008年","30000","和歌山県","7.8",""
"2008年","31000","鳥取県","8.3",""
"2008年","32000","島根県","7.9",""
"2008年","33000","岡山県","8.8",""
"2008年","34000","広島県","9.0",""
"2008年","35000","山口県","8.0",""
"2008年","36000","徳島県","7.5",""
"2008年","37000","香川県","8.6",""
"2008年","38000","愛媛県","8.1",""
"2008年","39000","高知県","7.5",""
"2008年","40000","福岡県","9.3",""
"2008年","41000","佐賀県","9.2",""
"2008年","42000","長崎県","8.5",""
"2008年","43000","熊本県","9.1",""
"2008年","44000","大分県","8.6",""
"2008年","45000","宮崎県","9.1",""
"2008年","46000","鹿児島県","9.0",""
"2008年","47000","沖縄県","12.2",""
"2009年","01000","北海道","7.3",""
"2009年","02000","青森県","6.9",""
"2009年","03000","岩手県","7.4",""
"2009年","04000","宮城県","8.2",""
"2009年","05000","秋田県","6.4",""
"2009年","06000","山形県","7.4",""
"2009年","07000","福島県","8.0",""
"2009年","08000","茨城県","8.3",""
"2009年","09000","栃木県","8.6",""
"2009年","10000","群馬県","8.3",""
"2009年","11000","埼玉県","8.5",""
"2009年","12000","千葉県","8.6",""
"2009年","13000","東京都","8.5",""
"2009年","14000","神奈川県","8.9",""
"2009年","15000","新潟県","7.6",""
"2009年","16000","富山県","7.8",""
"2009年","17000","石川県","8.5",""
"2009年","18000","福井県","8.8",""
"2009年","19000","山梨県","7.8",""
"2009年","20000","長野県","8.1",""
"2009年","21000","岐阜県","8.5",""
"2009年","22000","静岡県","8.6",""
"2009年","23000","愛知県","9.7",""
"2009年","24000","三重県","8.6",""
"2009年","25000","滋賀県","9.5",""
"2009年","26000","京都府","8.2",""
"2009年","27000","大阪府","8.7",""
"2009年","28000","兵庫県","8.6",""
"2009年","29000","奈良県","7.7",""
"2009年","30000","和歌山県","7.5",""
"2009年","31000","鳥取県","8.3",""
"2009年","32000","島根県","7.8",""
"2009年","33000","岡山県","8.5",""
"2009年","34000","広島県","9.0",""
"2009年","35000","山口県","7.8",""
"2009年","36000","徳島県","7.5",""
"2009年","37000","香川県","8.4",""
"2009年","38000","愛媛県","8.1",""
"2009年","39000","高知県","7.1",""
"2009年","40000","福岡県","9.2",""
"2009年","41000","佐賀県","8.9",""
"2009年","42000","長崎県","8.3",""
"2009年","43000","熊本県","9.0",""
"2009年","44000","大分県","8.4",""
"2009年","45000","宮崎県","9.0",""
"2009年","46000","鹿児島県","8.8",""
"2009年","47000","沖縄県","12.2",""
"2010年","01000","北海道","7.3",""
"2010年","02000","青森県","7.1",""
"2010年","03000","岩手県","7.4",""
"2010年","04000","宮城県","8.2",""
"2010年","05000","秋田県","6.2",""
"2010年","06000","山形県","7.4",""
"2010年","07000","福島県","8.0",""
"2010年","08000","茨城県","8.2",""
"2010年","09000","栃木県","8.3",""
"2010年","10000","群馬県","8.1",""
"2010年","11000","埼玉県","8.4",""
"2010年","12000","千葉県","8.4",""
"2010年","13000","東京都","8.4",""
"2010年","14000","神奈川県","8.8",""
"2010年","15000","新潟県","7.7",""
"2010年","16000","富山県","7.6",""
"2010年","17000","石川県","8.3",""
"2010年","18000","福井県","8.6",""
"2010年","19000","山梨県","7.8",""
"2010年","20000","長野県","8.1",""
"2010年","21000","岐阜県","8.3",""
"2010年","22000","静岡県","8.6",""
"2010年","23000","愛知県","9.6",""
"2010年","24000","三重県","8.4",""
"2010年","25000","滋賀県","9.6",""
"2010年","26000","京都府","8.2",""
"2010年","27000","大阪府","8.6",""
"2010年","28000","兵庫県","8.7",""
"2010年","29000","奈良県","7.7",""
"2010年","30000","和歌山県","7.6",""
"2010年","31000","鳥取県","8.2",""
