"時点","地域コード","地域","出生率（人口千対）","注記"
"2019年","440","リトアニア","9.8",""
"2019年","442","ルクセンブルク","10.1",""
"2019年","642","ルーマニア","10.3",""
"2019年","643","ロシア","",""
"2019年","156","中国","10.5",""
"2019年","710","南アフリカ","16.5",""
"2019年","392","日本","7.0","厚生労働省「人口動態調査」による。"
"2019年","410","韓国","5.9",""
"2019年","344","香港","7.0",""
"2019年","01000","北海道","6.0",""
"2019年","02000","青森県","5.8",""
"2019年","03000","岩手県","5.7",""
"2019年","04000","宮城県","6.5",""
"2019年","05000","秋田県","4.9",""
"2019年","06000","山形県","6.0",""
"2019年","07000","福島県","6.3",""
"2019年","08000","茨城県","6.4",""
"2019年","09000","栃木県","6.6",""
"2019年","10000","群馬県","6.3",""
"2019年","11000","埼玉県","6.7",""
"2019年","12000","千葉県","6.6",""
"2019年","13000","東京都","7.6",""
"2019年","14000","神奈川県","7.0",""
"2019年","15000","新潟県","6.2",""
"2019年","16000","富山県","6.4",""
"2019年","17000","石川県","7.0",""
"2019年","18000","福井県","7.0",""
"2019年","19000","山梨県","6.5",""
"2019年","20000","長野県","6.7",""
"2019年","21000","岐阜県","6.6",""
"2019年","22000","静岡県","6.6",""
"2019年","23000","愛知県","7.8",""
"2019年","24000","三重県","6.7",""
"2019年","25000","滋賀県","7.7",""
"2019年","26000","京都府","6.7",""
"2019年","27000","大阪府","7.3",""
"2019年","28000","兵庫県","7.1",""
"2019年","29000","奈良県","6.3",""
"2019年","30000","和歌山県","6.4",""
"2019年","31000","鳥取県","7.2",""
"2019年","32000","島根県","6.9",""
"2019年","33000","岡山県","7.3",""
"2019年","34000","広島県","7.3",""
"2019年","35000","山口県","6.5",""
"2019年","36000","徳島県","6.3",""
"2019年","37000","香川県","7.0",""
"2019年","38000","愛媛県","6.4",""
"2019年","39000","高知県","6.2",""
"2019年","40000","福岡県","7.9",""
"2019年","41000","佐賀県","7.7",""
"2019年","42000","長崎県","7.3",""
"2019年","43000","熊本県","7.7",""
"2019年","44000","大分県","6.8",""
"2019年","45000","宮崎県","7.6",""
"2019年","46000","鹿児島県","7.5",""
"2019年","47000","沖縄県","10.4",""
"2020年","352","アイスランド","12.4",""
"2020年","372","アイルランド","11.3",""
"2020年","031","アゼルバイジャン","12.5",""
"2020年","840","アメリカ合衆国","",""
"2020年","784","アラブ首長国連邦","",""
"2020年","012","アルジェリア","",""
"2020年","032","アルゼンチン","",""
"2020年","887","イエメン","",""
"2020年","826","イギリス","10.2","暫定値。"
"2020年","376","イスラエル","19.2","暫定値。"
"2020年","380","イタリア","6.8","暫定値。"
"2020年","368","イラク","...","数字が得られないもの。"
"2020年","364","イラン","",""
"2020年","356","インド","",""
"2020年","804","ウクライナ","...","数字が得られないもの。"
"2020年","860","ウズベキスタン","24.6",""
"2020年","218","エクアドル","",""
"2020年","818","エジプト","22.6",""
"2020年","233","エストニア","9.9","暫定値。"
"2020年","512","オマーン","18.9",""
"2020年","528","オランダ","9.7",""
"2020年","036","オーストラリア","",""
"2020年","040","オーストリア","...","数字が得られないもの。"
"2020年","398","カザフスタン","22.8",""
"2020年","634","カタール","",""
"2020年","124","カナダ","",""
"2020年","192","キューバ","",""
"2020年","300","ギリシャ","7.9",""
"2020年","414","クウェート","",""
"2020年","320","グアテマラ","20.2",""
"2020年","404","ケニア","...","数字が得られないもの。"
"2020年","188","コスタリカ","11.3","暫定値。"
"2020年","170","コロンビア","",""
"2020年","384","コートジボワール","",""
"2020年","682","サウジアラビア","",""
"2020年","702","シンガポール","",""
"2020年","756","スイス","...","数字が得られないもの。"
"2020年","752","スウェーデン","...","数字が得られないもの。"
"2020年","724","スペイン","7.1","暫定値。"
"2020年","144","スリランカ","13.8","暫定値。"
"2020年","703","スロバキア","...","数字が得られないもの。"
"2020年","705","スロベニア","9.0",""
"2020年","688","セルビア","8.9","暫定値。"
"2020年","764","タイ","...","数字が得られないもの。"
"2020年","203","チェコ","10.3","暫定値。"
"2020年","788","チュニジア","",""
"2020年","152","チリ","",""
"2020年","208","デンマーク","...","数字が得られないもの。"
"2020年","792","トルコ","13.3","暫定値。"
"2020年","276","ドイツ","9.3","暫定値。"
"2020年","214","ドミニカ共和国","...","数字が得られないもの。"
"2020年","554","ニュージーランド","11.3",""
"2020年","578","ノルウェー","9.9","暫定値。"
"2020年","348","ハンガリー","9.4","暫定値。"
"2020年","050","バングラデシュ","...","数字が得られないもの。"
"2020年","591","パナマ","15.9","暫定値。"
"2020年","608","フィリピン","12.9",""
"2020年","246","フィンランド","8.4","暫定値。"
"2020年","250","フランス","",""
"2020年","076","ブラジル","",""
"2020年","100","ブルガリア","...","数字が得られないもの。"
"2020年","704","ベトナム","",""
"2020年","862","ベネズエラ","",""
"2020年","112","ベラルーシ","",""
"2020年","056","ベルギー","...","数字が得られないもの。"
"2020年","604","ペルー","...","数字が得られないもの。"
"2020年","068","ボリビア","",""
"2020年","620","ポルトガル","8.2","暫定値。"
"2020年","616","ポーランド","...","数字が得られないもの。"
"2020年","458","マレーシア","14.4",""
"2020年","104","ミャンマー","",""
"2020年","484","メキシコ","...","数字が得られないもの。"
"2020年","504","モロッコ","",""
"2020年","428","ラトビア","9.2",""
"2020年","440","リトアニア","8.9",""
"2020年","442","ルクセンブルク","10.3",""
"2020年","642","ルーマニア","9.1","暫定値。"
"2020年","643","ロシア","9.8","国際連合「Population and Vital Statistics Report」による。"
"2020年","156","中国","",""
"2020年","710","南アフリカ","",""
"2020年","392","日本","6.8","厚生労働省「人口動態調査」による。"
"2020年","410","韓国","",""
"2020年","344","香港","",""
"2020年","01000","北海道","5.7",""
"2020年","02000","青森県","5.5",""
"2020年","03000","岩手県","5.6",""
"2020年","04000","宮城県","6.4",""
"2020年","05000","秋田県","4.7",""
"2020年","06000","山形県","5.9",""
"2020年","07000","福島県","6.2",""
"2020年","08000","茨城県","6.2",""
"2020年","09000","栃木県","6.2",""
"2020年","10000","群馬県","6.2",""
"2020年","11000","埼玉県","6.6",""
"2020年","12000","千葉県","6.6",""
"2020年","13000","東京都","7.4",""
"2020年","14000","神奈川県","6.8",""
"2020年","15000","新潟県","5.9",""
"2020年","16000","富山県","6.1",""
"2020年","17000","石川県","6.9",""
"2020年","18000","福井県","7.1",""
"2020年","19000","山梨県","6.5",""
"2020年","20000","長野県","6.4",""
"2020年","21000","岐阜県","6.3",""
"2020年","22000","静岡県","6.4",""
"2020年","23000","愛知県","7.6",""
"2020年","24000","三重県","6.5",""
"2020年","25000","滋賀県","7.6",""
"2020年","26000","京都府","6.5",""
"2020年","27000","大阪府","7.2",""
"2020年","28000","兵庫県","6.9",""
"2020年","29000","奈良県","6.0",""
"2020年","30000","和歌山県","6.3",""
"2020年","31000","鳥取県","6.9",""
"2020年","32000","島根県","6.8",""
"2020年","33000","岡山県","7.3",""
"2020年","34000","広島県","7.1",""
"2020年","35000","山口県","6.2",""
"2020年","36000","徳島県","6.3",""
"2020年","37000","香川県","6.6",""
"2020年","38000","愛媛県","6.1",""
"2020年","39000","高知県","5.9",""
"2020年","40000","福岡県","7.7",""
"2020年","41000","佐賀県","7.5",""
"2020年","42000","長崎県","7.0",""
"2020年","43000","熊本県","7.6",""
"2020年","44000","大分県","6.8",""
"2020年","45000","宮崎県","7.3",""
"2020年","46000","鹿児島県","7.4",""
"2020年","47000","沖縄県","10.3",""
"2021年","01000","北海道","5.6","速報"
"2021年","02000","青森県","5.4","速報"
"2021年","03000","岩手県","5.4","速報"
"2021年","04000","宮城県","6.1","速報"
"2021年","05000","秋田県","4.6","速報"
"2021年","06000","山形県","5.6","速報"
"2021年","07000","福島県","5.9","速報"
"2021年","08000","茨城県","5.9","速報"
"2021年","09000","栃木県","6.1","速報"
"2021年","10000","群馬県","6.0","速報"
"2021年","11000","埼玉県","6.4","速報"
"2021年","12000","千葉県","6.3","速報"
"2021年","13000","東京都","7.1","速報"
"2021年","14000","神奈川県","6.5","速報"
"2021年","15000","新潟県","5.8","速報"
"2021年","16000","富山県","6.0","速報"
"2021年","17000","石川県","6.5","速報"
"2021年","18000","福井県","7.0","速報"
"2021年","19000","山梨県","6.3","速報"
"2021年","20000","長野県","6.3","速報"
"2021年","21000","岐阜県","6.2","速報"
"2021年","22000","静岡県","6.1","速報"
"2021年","23000","愛知県","7.4","速報"
"2021年","24000","三重県","6.4","速報"
"2021年","25000","滋賀県","7.4","速報"
"2021年","26000","京都府","6.3","速報"
"2021年","27000","大阪府","7.0","速報"
"2021年","28000","兵庫県","6.7","速報"
"2021年","29000","奈良県","6.0","速報"
"2021年","30000","和歌山県","6.1","速報"
"2021年","31000","鳥取県","6.8","速報"
"2021年","32000","島根県","6.7","速報"
"2021年","33000","岡山県","7.1","速報"
"2021年","34000","広島県","6.8","速報"
"2021年","35000","山口県","6.1","速報"
"2021年","36000","徳島県","6.1","速報"
"2021年","37000","香川県","6.7","速報"
"2021年","38000","愛媛県","6.1","速報"
"2021年","39000","高知県","6.0","速報"
"2021年","40000","福岡県","7.4","速報"
"2021年","41000","佐賀県","7.3","速報"
"2021年","42000","長崎県","6.9","速報"
"2021年","43000","熊本県","7.4","速報"
"2021年","44000","大分県","6.6","速報"
"2021年","45000","宮崎県","7.2","速報"
"2021年","46000","鹿児島県","7.4","速報"
"2021年","47000","沖縄県","10.0","速報"
